City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,Year,Month,Season,PM2.5_SI,PM10_SI,NO2_SI,SO2_SI,CO_SI,O3_SI,HRI,HRI_Category
Ahmedabad,2015-01-22,58.37,107.96,9.05,17.51,22.33,,9.05,23.71,42.22,0.0,0.0,4.51,384.5,,2015,1,Winter,289.1333333333333,139.9111111111111,35.02,29.6375,0.113125,21.11,141.26,Unhealthy
Ahmedabad,2015-01-23,58.37,107.96,22.53,27.96,47.79,,22.53,39.19,32.92,0.39,0.0,5.95,384.5,,2015,1,Winter,289.1333333333333,139.9111111111111,55.92,48.9875,0.281625,16.46,146.92,Unhealthy
Ahmedabad,2015-01-24,58.37,107.96,2.03,20.39,21.4,,2.03,40.07,32.49,0.47,0.7,1.54,384.5,,2015,1,Winter,289.1333333333333,139.9111111111111,40.78,50.0875,0.025374999999999995,16.245,143.97,Unhealthy
Ahmedabad,2015-01-25,58.37,107.96,1.42,20.43,20.19,,1.42,58.41,39.26,0.01,0.0,0.94,384.5,,2015,1,Winter,289.1333333333333,139.9111111111111,40.86,73.01249999999999,0.01775,19.63,146.62,Unhealthy
Ahmedabad,2015-01-26,58.37,107.96,2.27,21.16,21.81,,2.27,43.73,39.83,0.06,0.0,1.55,384.5,,2015,1,Winter,289.1333333333333,139.9111111111111,42.32,54.662499999999994,0.028374999999999997,19.915,145.1,Unhealthy
Ahmedabad,2015-01-27,58.37,107.96,2.19,21.7,23.26,,2.19,43.28,41.1,0.02,0.0,1.65,384.5,,2015,1,Winter,289.1333333333333,139.9111111111111,43.4,54.1,0.027375,20.55,145.33,Unhealthy
Ahmedabad,2015-01-28,73.24,107.96,5.72,21.11,25.84,,5.72,36.52,62.42,0.03,0.01,1.41,384.5,,2015,1,Winter,344.1333333333333,139.9111111111111,42.22,45.65,0.0715,31.209999999999997,164.56,Unhealthy
Ahmedabad,2015-01-29,83.13,107.96,6.93,28.71,33.72,,6.93,49.52,59.76,0.02,0.0,3.14,209.0,Poor,2015,1,Winter,377.1,139.9111111111111,57.42,61.9,0.086625,29.880000000000003,180.63,Unhealthy
Ahmedabad,2015-01-30,79.84,107.96,13.85,28.68,41.08,,13.85,48.49,97.07,0.04,0.0,4.81,328.0,Very Poor,2015,1,Winter,366.1333333333333,139.9111111111111,57.36,60.612500000000004,0.173125,48.535,178.52,Unhealthy
Ahmedabad,2015-01-31,94.52,107.96,24.39,32.66,52.61,,24.39,67.39,111.33,0.24,0.01,7.67,514.0,Severe,2015,1,Winter,415.06666666666666,139.9111111111111,65.32,84.2375,0.304875,55.665,200.33,Very Unhealthy
Ahmedabad,2015-02-01,135.99,107.96,43.48,42.08,84.57,,43.48,75.23,102.7,0.4,0.04,25.87,782.0,Severe,2015,2,Winter,500.0,139.9111111111111,84.16,94.03750000000001,0.5435,51.35000000000001,234.38,Very Unhealthy
Ahmedabad,2015-02-03,139.7,107.96,30.61,28.4,56.73,,30.61,33.79,73.6,0.17,0.03,11.87,660.0,Severe,2015,2,Winter,500.0,139.9111111111111,56.8,42.2375,0.382625,36.8,222.27,Very Unhealthy
